train_0001wav,no 
train_0533wav,because I don't do that and the I will not do that 
train_0534wav,ten thirty 
train_0535wav,yeah 
train_0536wav,yes because I'm an honest person I don't still 
train_0537wav,should be punished accordingly 
train_0538wav,now 
train_0539wav,wow clock 
train_0540wav,ten thirty 
train_0541wav,no 
train_0542wav,yes 
train_0543wav,expelled from school 
train_0544wav,nineteen eighty five August 
train_0545wav,September nineteen nineteen ninety one 
train_0546wav,I have no idea 
train_0547wav,no 
train_0548wav,not 
train_0549wav,no 
train_0550wav,now 
train_0551wav,probably 
train_0552wav,yes 
train_0553wav,no 
train_0554wav,and this is my fourth year solace like since two thousand tan so it's like three years each time 
train_0555wav,no 
train_0556wav,they should be punished 
train_0557wav,arm I've never done this before such little Hon comment I guess 
train_0558wav,yes 
train_0559wav,yes 
train_0560wav,ten o'clock 
train_0561wav,she punished 
train_0562wav,yes 
train_0563wav,I believe so yes 
train_0564wav,no I don't 
train_0565wav,no 
train_0566wav,I what I saw and heard I saw no will people around the UN islands contacting their experiment like not all students and teachers and professors and how life and when I ran into to MI S department the people around me seems innocence and they seemed like day now on nothing about diss experiment and I just feel good about it yeah 
train_0567wav,yes 
train_0568wav,March twenty sixth nineteen ninety one 
train_0569wav,may nineteen eighty nine 
train_0570wav,now 
train_0571wav,one PM 
train_0572wav,%HESITATION wiggle room 
